transaction_id,date,customer_id,product_id,product_name,quantity,unit_price,total_amount,payment_method,store_location
1,2025-02-18,C001,P118,Power Bank,2,49.99,99.98,Apple Pay,Dallas
2,2025-06-17,C002,P108,Digital Camera,4,599.99,2399.96,Google Pay,Dallas
3,2025-04-12,C003,P119,Noise Cancelling Headphones,4,199.99,799.96,Google Pay,New York
4,2025-02-12,C004,P114,Wireless Mouse,1,49.99,49.99,Apple Pay,Chicago
5,2025-04-14,C005,P113,Mechanical Keyboard,2,149.99,299.98,Credit Card,Dallas
6,2025-03-08,C006,P103,Wireless Earbuds,4,149.99,599.96,Cash,Boston
7,2025-02-06,C007,P108,Digital Camera,1,599.99,599.99,Credit Card,Boston
8,2025-06-13,C008,P113,Mechanical Keyboard,1,149.99,149.99,Credit Card,Jacksonville
9,2025-06-15,C009,P110,Smart Home Hub,5,129.99,649.95,Credit Card,Jacksonville
10,2025-02-15,C010,P106,Gaming Console,2,399.99,799.98,Credit Card,Denver
11,2025-04-13,C011,P120,Smart Bulb Pack,3,24.99,74.97,Google Pay,Philadelphia
12,2025-02-13,C012,P119,Noise Cancelling Headphones,2,199.99,399.98,Google Pay,Columbus
13,2025-04-24,C013,P115,Monitor LG,5,299.99,1499.95,Google Pay,New York
14,2025-04-04,C014,P109,VR Headset,3,299.99,899.97,Google Pay,Boston
15,2025-05-05,C015,P110,Smart Home Hub,2,129.99,259.98,Debit Card,Fort Worth
16,2025-01-13,C016,P105,Tablet Mini,4,499.99,1999.96,Google Pay,Houston
17,2025-02-08,C017,P109,VR Headset,4,299.99,1199.96,Cash,Chicago
18,2025-05-23,C018,P113,Mechanical Keyboard,5,149.99,749.95,PayPal,Los Angeles
19,2025-02-21,C019,P116,Webcam HD,4,89.99,359.96,Cash,Philadelphia
20,2025-03-24,C020,P105,Tablet Mini,3,499.99,1499.97,Cash,Chicago
21,2025-02-28,C021,P104,Smart Watch,2,249.99,499.98,Credit Card,San Diego
22,2025-03-20,C022,P110,Smart Home Hub,4,129.99,519.96,Credit Card,Phoenix
23,2025-03-26,C023,P120,Smart Bulb Pack,2,24.99,49.98,Cash,Indianapolis
24,2025-02-15,C024,P112,External SSD,2,199.99,399.98,Debit Card,Austin
25,2025-05-23,C025,P108,Digital Camera,1,599.99,599.99,Credit Card,Austin
26,2025-02-07,C026,P120,Smart Bulb Pack,4,24.99,99.96,Cash,Boston
27,2025-02-12,C027,P107,Bluetooth Speaker,1,79.99,79.99,PayPal,Indianapolis
28,2025-04-18,C028,P112,External SSD,5,199.99,999.95,Cash,Jacksonville
29,2025-02-14,C029,P105,Tablet Mini,1,499.99,499.99,Cash,Denver
30,2025-05-06,C030,P106,Gaming Console,4,399.99,1599.96,Debit Card,Boston
31,2025-05-12,C031,P111,Wireless Charger,4,29.99,119.96,Debit Card,New York
32,2025-05-29,C032,P116,Webcam HD,4,89.99,359.96,Cash,Houston
33,2025-01-26,C033,P102,Laptop Pro,2,1299.99,2599.98,Debit Card,San Jose
34,2025-04-21,C034,P114,Wireless Mouse,4,49.99,199.96,Google Pay,Boston
35,2025-01-07,C035,P101,Smartphone X,4,899.99,3599.96,PayPal,Houston
36,2025-04-25,C036,P120,Smart Bulb Pack,2,24.99,49.98,Debit Card,Phoenix
37,2025-04-19,C037,P112,External SSD,2,199.99,399.98,Google Pay,Boston
38,2025-01-05,C038,P120,Smart Bulb Pack,5,24.99,124.95,Debit Card,San Diego
39,2025-02-25,C039,P115,Monitor LG,5,299.99,1499.95,Apple Pay,Boston
40,2025-02-04,C040,P111,Wireless Charger,2,29.99,59.98,Apple Pay,Columbus
41,2025-04-20,C041,P105,Tablet Mini,3,499.99,1499.97,Debit Card,Dallas
42,2025-04-17,C042,P110,Smart Home Hub,4,129.99,519.96,Cash,New York
43,2025-01-22,C043,P120,Smart Bulb Pack,1,24.99,24.99,PayPal,Seattle
44,2025-05-25,C044,P102,Laptop Pro,2,1299.99,2599.98,Google Pay,Philadelphia
45,2025-05-21,C045,P105,Tablet Mini,1,499.99,499.99,Apple Pay,San Francisco
46,2025-01-04,C046,P112,External SSD,5,199.99,999.95,Cash,Houston
47,2025-01-26,C047,P105,Tablet Mini,3,499.99,1499.97,Cash,Denver
48,2025-03-18,C048,P117,USB-C Hub,1,39.99,39.99,Google Pay,Charlotte
49,2025-03-14,C049,P119,Noise Cancelling Headphones,1,199.99,199.99,PayPal,Charlotte
50,2025-03-16,C050,P101,Smartphone X,2,899.99,1799.98,Debit Card,San Francisco
51,2025-05-15,C051,P102,Laptop Pro,3,1299.99,3899.97,Cash,Houston
52,2025-03-21,C052,P116,Webcam HD,2,89.99,179.98,Cash,Dallas
53,2025-05-15,C053,P112,External SSD,2,199.99,399.98,Google Pay,Chicago
54,2025-02-19,C054,P118,Power Bank,2,49.99,99.98,PayPal,Austin
55,2025-04-11,C055,P106,Gaming Console,2,399.99,799.98,Cash,Seattle
56,2025-01-07,C056,P109,VR Headset,3,299.99,899.97,Credit Card,New York
57,2025-05-21,C057,P101,Smartphone X,5,899.99,4499.95,Cash,Philadelphia
58,2025-03-04,C058,P104,Smart Watch,2,249.99,499.98,PayPal,Denver
59,2025-05-15,C059,P114,Wireless Mouse,1,49.99,49.99,PayPal,Los Angeles
60,2025-02-20,C060,P118,Power Bank,5,49.99,249.95,Credit Card,New York
61,2025-05-22,C061,P108,Digital Camera,1,599.99,599.99,Google Pay,San Jose
62,2025-05-20,C062,P110,Smart Home Hub,1,129.99,129.99,Cash,Austin
63,2025-04-05,C063,P108,Digital Camera,1,599.99,599.99,Google Pay,Philadelphia
64,2025-01-26,C064,P102,Laptop Pro,5,1299.99,6499.95,Apple Pay,San Antonio
65,2025-03-31,C065,P101,Smartphone X,5,899.99,4499.95,Credit Card,Chicago
66,2025-06-13,C066,P119,Noise Cancelling Headphones,5,199.99,999.95,Apple Pay,Houston
67,2025-05-14,C067,P117,USB-C Hub,3,39.99,119.97,PayPal,Jacksonville
68,2025-06-16,C068,P102,Laptop Pro,2,1299.99,2599.98,PayPal,Columbus
69,2025-02-18,C069,P118,Power Bank,4,49.99,199.96,Google Pay,Dallas
70,2025-04-05,C070,P116,Webcam HD,5,89.99,449.95,Credit Card,Fort Worth
71,2025-05-30,C071,P106,Gaming Console,5,399.99,1999.95,Debit Card,Dallas
72,2025-05-13,C072,P101,Smartphone X,4,899.99,3599.96,Cash,Boston
73,2025-05-21,C073,P116,Webcam HD,2,89.99,179.98,Apple Pay,Chicago
74,2025-04-24,C074,P110,Smart Home Hub,5,129.99,649.95,Apple Pay,Phoenix
75,2025-04-10,C075,P101,Smartphone X,2,899.99,1799.98,PayPal,Austin
76,2025-03-20,C076,P110,Smart Home Hub,1,129.99,129.99,PayPal,San Antonio
77,2025-02-17,C077,P103,Wireless Earbuds,5,149.99,749.95,Credit Card,San Francisco
78,2025-06-08,C078,P120,Smart Bulb Pack,3,24.99,74.97,Credit Card,San Jose
79,2025-03-10,C079,P117,USB-C Hub,1,39.99,39.99,PayPal,Denver
80,2025-01-13,C080,P111,Wireless Charger,3,29.99,89.97,Cash,Seattle
81,2025-05-04,C081,P101,Smartphone X,2,899.99,1799.98,Credit Card,Columbus
82,2025-02-10,C082,P115,Monitor LG,2,299.99,599.98,PayPal,New York
83,2025-06-12,C083,P117,USB-C Hub,4,39.99,159.96,Google Pay,Charlotte
84,2025-02-09,C084,P114,Wireless Mouse,5,49.99,249.95,PayPal,Indianapolis
85,2025-03-08,C085,P104,Smart Watch,2,249.99,499.98,Apple Pay,Houston
86,2025-03-22,C086,P115,Monitor LG,2,299.99,599.98,Debit Card,Boston
87,2025-05-21,C087,P108,Digital Camera,2,599.99,1199.98,Google Pay,Seattle
88,2025-02-07,C088,P110,Smart Home Hub,4,129.99,519.96,Google Pay,Fort Worth
89,2025-01-16,C089,P113,Mechanical Keyboard,2,149.99,299.98,Debit Card,Fort Worth
90,2025-01-04,C090,P116,Webcam HD,2,89.99,179.98,Apple Pay,Dallas
91,2025-05-14,C091,P113,Mechanical Keyboard,3,149.99,449.97,Debit Card,Columbus
92,2025-02-28,C092,P117,USB-C Hub,4,39.99,159.96,PayPal,Dallas
93,2025-01-01,C093,P117,USB-C Hub,3,39.99,119.97,Credit Card,Houston
94,2025-06-18,C094,P111,Wireless Charger,5,29.99,149.95,PayPal,San Antonio
95,2025-03-29,C095,P112,External SSD,2,199.99,399.98,Apple Pay,Austin
96,2025-06-05,C096,P110,Smart Home Hub,1,129.99,129.99,Google Pay,Dallas
97,2025-04-19,C097,P116,Webcam HD,5,89.99,449.95,Apple Pay,Houston
98,2025-04-03,C098,P113,Mechanical Keyboard,4,149.99,599.96,Credit Card,San Francisco
99,2025-01-30,C099,P113,Mechanical Keyboard,4,149.99,599.96,Cash,Los Angeles
100,2025-06-01,C100,P117,USB-C Hub,4,39.99,159.96,Google Pay,Los Angeles
101,2025-02-11,C101,P111,Wireless Charger,3,29.99,89.97,Google Pay,Phoenix
102,2025-05-11,C102,P115,Monitor LG,5,299.99,1499.95,Cash,Jacksonville
103,2025-05-20,C103,P107,Bluetooth Speaker,3,79.99,239.97,Credit Card,Jacksonville
104,2025-05-12,C104,P112,External SSD,3,199.99,599.97,Apple Pay,Dallas
105,2025-05-22,C105,P101,Smartphone X,4,899.99,3599.96,PayPal,Fort Worth
106,2025-02-13,C106,P112,External SSD,4,199.99,799.96,Apple Pay,Austin
107,2025-01-07,C107,P112,External SSD,5,199.99,999.95,Google Pay,New York
108,2025-04-28,C108,P102,Laptop Pro,5,1299.99,6499.95,Cash,Charlotte
109,2025-01-10,C109,P113,Mechanical Keyboard,2,149.99,299.98,Apple Pay,Charlotte
110,2025-03-05,C110,P120,Smart Bulb Pack,1,24.99,24.99,Google Pay,Philadelphia
111,2025-06-01,C111,P105,Tablet Mini,3,499.99,1499.97,Cash,Jacksonville
112,2025-04-12,C112,P105,Tablet Mini,1,499.99,499.99,Apple Pay,Austin
113,2025-02-25,C113,P117,USB-C Hub,3,39.99,119.97,Debit Card,Columbus
114,2025-05-29,C114,P107,Bluetooth Speaker,5,79.99,399.95,Cash,Los Angeles
115,2025-03-12,C115,P114,Wireless Mouse,1,49.99,49.99,Apple Pay,San Francisco
116,2025-04-16,C116,P105,Tablet Mini,4,499.99,1999.96,Cash,Dallas
117,2025-04-15,C117,P119,Noise Cancelling Headphones,4,199.99,799.96,Cash,Philadelphia
118,2025-05-28,C118,P102,Laptop Pro,4,1299.99,5199.96,Apple Pay,San Diego
119,2025-06-05,C119,P112,External SSD,3,199.99,599.97,Cash,Seattle
120,2025-02-24,C120,P105,Tablet Mini,1,499.99,499.99,Cash,Dallas
121,2025-03-04,C121,P111,Wireless Charger,5,29.99,149.95,Cash,Fort Worth
122,2025-05-08,C122,P117,USB-C Hub,3,39.99,119.97,Apple Pay,Seattle
123,2025-06-13,C123,P109,VR Headset,3,299.99,899.97,Apple Pay,Los Angeles
